challenge_source,challenge_index,company,audit_status,reason,history_status,contact_name,contact_title,direct_email,last_verified,next_action
Genesy Stockholm,140,Acne Studios,IRRELEVANT / EXCLUDED,"International fashion brand. Fashion/clothing brands are an explicit standing exclusion under Speculative Outreach V4.2.","Live Gmail exact-company screening after 2026-07-01 found no sent Acne Studios employment outreach.",,,,2026-09-19,"No speculative outreach; fashion/clothing exclusion"
Genesy Stockholm,141,GANT,IRRELEVANT / EXCLUDED,"International fashion and apparel brand. Fashion/clothing brands are an explicit standing exclusion under Speculative Outreach V4.2.","Live Gmail exact-company screening after 2026-07-01 found no sent GANT employment outreach.",,,,2026-09-19,"No speculative outreach; fashion/clothing exclusion"
Genesy Stockholm,142,Toteme,IRRELEVANT / EXCLUDED,"International Stockholm fashion brand. Fashion/clothing brands are an explicit standing exclusion under Speculative Outreach V4.2.","Live Gmail exact-company screening after 2026-07-01 found no sent Toteme employment outreach.",,,,2026-09-19,"No speculative outreach; fashion/clothing exclusion"
Genesy Stockholm,143,BabyBjörn,INTERNATIONAL - READY,"Strong transferable premium-consumer fit: Swedish-headquartered family-products company of meaningful mid-market scale, with roughly 180 employees and about 95% of sales exported to more than 50 countries. No suitable live senior commercial vacancy is currently advertised, creating a credible direct speculative route.","Live Gmail exact-company screening after 2026-07-01 found no sent BabyBjörn employment outreach. Current public company material identifies Fredrik Ohlsson as CEO, and a public professional-company directory exposes his corporate address.",Fredrik Ohlsson,CEO,fredrik.ohlsson@babybjorn.com,2026-09-19,"Ready for a tailored speculative email; verify recipient once more immediately before drafting"
Genesy Stockholm,144,Happy Socks,IRRELEVANT / EXCLUDED,"International socks/apparel brand. Fashion/clothing brands are an explicit standing exclusion under Speculative Outreach V4.2.","Live Gmail exact-company screening after 2026-07-01 found no sent Happy Socks employment outreach.",,,,2026-09-19,"No speculative outreach; fashion/clothing exclusion"
Genesy Stockholm,145,Björn Borg,IRRELEVANT / EXCLUDED,"International fashion/apparel brand. Fashion/clothing brands are an explicit standing exclusion under Speculative Outreach V4.2.","Live Gmail exact-company screening after 2026-07-01 found no sent Björn Borg employment outreach.",,,,2026-09-19,"No speculative outreach; fashion/clothing exclusion"
Genesy Stockholm,146,Matsmart Motatos,INTERNATIONAL - HOLD,"International circular grocery e-commerce business with genuine multi-market scale and sustainability relevance, but the commercial model is predominantly consumer e-commerce rather than consultative B2B new business. Current visible Stockholm hiring does not expose a suitable senior hands-on international sales mandate.","Live Gmail exact-company screening after 2026-07-01 found no sent Matsmart/Motatos employment outreach.",,,,2026-09-19,"Hold for final challenge; promote only if a credible B2B partnerships or cross-market commercial-growth mandate is verified"
Genesy Stockholm,147,Sellpy,IRRELEVANT / EXCLUDED,"Consumer second-hand fashion marketplace operating within the fashion/resale ecosystem. The fashion/consumer-marketplace model conflicts with the governing sector preference for consultative international B2B new business.","Live Gmail exact-company screening after 2026-07-01 found no sent Sellpy employment outreach.",,,,2026-09-19,"No speculative outreach under current preference governance"
Genesy Stockholm,148,Hem,ALREADY HANDLED,"Strong premium design/furniture international fit, but Andrew already completed speculative outreach in the current campaign.","Live Gmail and canonical applications.csv verify speculative outreach sent 2026-08-12 to Petrus at petrus@hem.com with Andrew_Langmaid_Hem.pdf attached.",Petrus,,petrus@hem.com,2026-09-19,"Do not duplicate outreach"
Genesy Stockholm,149,Peak Performance,IRRELEVANT / EXCLUDED,"International apparel/outdoor fashion brand. Fashion/clothing brands are an explicit standing exclusion under Speculative Outreach V4.2.","Live Gmail exact-company screening after 2026-07-01 found no sent Peak Performance employment outreach.",,,,2026-09-19,"No speculative outreach; fashion/clothing exclusion"
Genesy Stockholm,150,Houdini Sportswear,IRRELEVANT / EXCLUDED,"Outdoor apparel brand. Fashion/clothing brands are an explicit standing exclusion under Speculative Outreach V4.2.","Live Gmail exact-company screening after 2026-07-01 found no sent Houdini Sportswear employment outreach.",,,,2026-09-19,"No speculative outreach; fashion/clothing exclusion"
Genesy Stockholm,151,CAIA Cosmetics,ALREADY HANDLED,"International beauty brand with consumer-growth relevance, but Andrew already completed speculative outreach in the current campaign.","Live Gmail verifies speculative outreach sent 2026-08-11 to Kieran at kieran@caiacosmetics.com.",Kieran,,kieran@caiacosmetics.com,2026-09-19,"Do not duplicate outreach"
Genesy Stockholm,152,Estrid,INTERNATIONAL - READY,"Strong international consumer-growth fit: Stockholm personal-care brand with an approximately 80-person team, operations across 16 markets and current public evidence of further market expansion in H2 2026. Its open-application route explicitly includes B2B/Sales, while no more specific suitable senior vacancy is currently surfaced.","Live Gmail exact-company screening after 2026-07-01 found no sent Estrid employment outreach. Current public company material identifies Ben Eliass as CEO & Co-founder and multiple public professional/company sources expose ben@estrid.com.",Ben Eliass,CEO & Co-founder,ben@estrid.com,2026-09-19,"Ready for a tailored speculative email to the CEO; verify recipient once more immediately before drafting"
Genesy Stockholm,153,Instabee,LIVE ROLE - TIER B / DIRECT APPLICATION,"A current Stockholm International Key Account Manager role sits in Growth and covers strategic global merchant relationships, commercial growth and cross-market account development. It is materially relevant, but is more key-account growth than pure net-new hunting, so it belongs in the advertised-role workflow rather than speculative outreach.","Live Gmail exact-company screening after 2026-07-01 found no sent Instabee employment outreach or application.",,,,2026-09-19,"Route to advertised-role workflow as Tier B; do not send speculative outreach while this live role exists"
Genesy Stockholm,154,Klarna,IRRELEVANT / EXCLUDED,"Very large global fintech/payments platform. Regulated financial/payments infrastructure plus large-corporate scale create both specialist-domain and small-cog risks outside the target speculative profile.","Live Gmail exact-company screening after 2026-07-01 found no sent Klarna employment outreach.",,,,2026-09-19,"No speculative outreach; fintech-specialist and scale gates"
Genesy Stockholm,155,Spotify,IRRELEVANT / EXCLUDED,"Very large global consumer media/creator platform. The media/content ecosystem conflicts with the preferred consultative B2B new-business company profile and the organisation is far beyond the preferred scale.","Live Gmail exact-company screening after 2026-07-01 found no sent Spotify employment outreach.",,,,2026-09-19,"No speculative outreach"
Genesy Stockholm,156,Lovable,INTERNATIONAL - HOLD,"Extremely strong international SaaS growth company with a current Stockholm Mid-Market Account Executive role covering full-cycle B2B sales, but the live role explicitly requires fluency in a Nordic language. Andrew's current Swedish level creates a hard role-level language gap despite the underlying company fit.","Live Gmail exact-company screening after 2026-07-01 found no sent Lovable employment outreach.",,,,2026-09-19,"Hold for an English-first international/global commercial role; do not send speculative outreach while the current language-gated role is live"
Genesy Stockholm,157,Legora,LIVE ROLE - TIER A / DIRECT APPLICATION,"Current Stockholm GTM/Account Executive hiring is highly aligned: full sales-cycle ownership, senior B2B selling, global law-firm/corporate customers and explicit international business-development scope. The experience bar is senior enough to fit Andrew materially better than junior SaaS roles.","Live Gmail exact-company screening after 2026-07-01 found no sent Legora employment outreach or application.",,,,2026-09-19,"Route immediately to advertised-role workflow as Tier A; do not create speculative outreach while suitable live roles exist"
Genesy Stockholm,158,Kisi,INTERNATIONAL - READY,"Global B2B physical-access platform combining cloud software, hardware and partner-led enterprise deployment, with Stockholm and US operations and a mid-market team size. The sale is commercially transferable and current public hiring does not expose a suitable Stockholm senior sales vacancy, making a direct speculative approach credible.","Live Gmail exact-company screening after 2026-07-01 found no sent Kisi employment outreach. Current public company material identifies Bernhard Mehl as Co-founder & CEO and multiple public professional sources expose bm@getkisi.com.",Bernhard Mehl,Co-founder & CEO,bm@getkisi.com,2026-09-19,"Ready for a tailored speculative email; verify recipient once more immediately before drafting"
Genesy Stockholm,159,Stravito,ALREADY HANDLED,"Strong international enterprise knowledge-SaaS fit, but Andrew already completed speculative outreach in the current campaign.","Live Gmail verifies speculative outreach sent 2026-08-03 to Thor Olof Philogène at thor@stravito.com.",Thor Olof Philogène,Founder & CEO,thor@stravito.com,2026-09-19,"Do not duplicate outreach"
Genesy Stockholm,160,Storykit,IRRELEVANT / EXCLUDED,"A current Stockholm Account Executive role is commercially relevant on paper, but Storykit's core proposition is AI-powered marketing/video content explicitly built for social channels including LinkedIn. This falls directly within Andrew's standing preference to avoid social-media/communications-noise companies.","Live Gmail exact-company screening after 2026-07-01 found no sent Storykit employment outreach.",,,,2026-09-19,"No speculative outreach under current company-preference governance"
Genesy Stockholm,161,Bannerflow,ALREADY HANDLED,"International creative-management SaaS, but Andrew already completed speculative outreach in the current campaign.","Canonical applications.csv and live Gmail verify speculative outreach sent 2026-08-12 to Daniel Angvik at daniel.angvik@bannerflow.com.",Daniel Angvik,,daniel.angvik@bannerflow.com,2026-09-19,"Do not duplicate outreach"
