city,priority,company,sector,fit_summary,contact_name,contact_title,email_status,contact_email,company_url,careers_url,current_opening_review,outreach_status,history_note,contact_source_url,verified_date
Stockholm,B,Baseload Capital,Geothermal investment,International market development and partnership model in geothermal energy.,Alexander Helling,CEO & Co-founder,Email status previously researched in tracker,,https://www.baseloadcap.com,https://www.baseloadcap.com/career,No suitable senior English-first role identified in the prior careers review.,Ready - conditional second wave,Retained existing target,https://www.baseloadcap.com,2026-07-30
Stockholm,A,Cemvision,Low-carbon cement,Mission-led industrial scale-up requiring commercial partnerships and market creation.,Oscar Hållén,CEO,Email status previously researched in tracker,,https://www.cemvision.se,https://career.cemvision.se,No suitable senior English-first role identified in the prior careers review.,Ready for speculative outreach,Retained existing target,https://www.cemvision.se,2026-07-30
Stockholm,A,Echandia,Maritime electrification,"International clean-mobility company with shipyard, operator and strategic partner potential.",Ayla Körlof,Chief Commercial Officer,Email status previously researched in tracker,,https://echandia.se,https://echandia.se/career,No suitable senior English-first role identified in the prior careers review.,Ready for speculative outreach,Retained existing target,https://echandia.se,2026-07-30
Stockholm,A,Oceanbird,Wind-powered shipping,High-impact international maritime decarbonisation with partnership and market-development potential.,Amrit Bhullar,CEO,Email status previously researched in tracker,,https://www.theoceanbird.com,https://www.theoceanbird.com/career,No suitable senior English-first role identified in the prior careers review.,Ready for speculative outreach,Retained existing target,https://www.theoceanbird.com,2026-07-30
Stockholm,B,SaltX Technology,Energy storage,Mission-led international energy technology with partner-market potential.,Eric Jacobson,Chief Commercial Officer,Email status previously researched in tracker,,https://saltxtechnology.com,https://saltxtechnology.com/career,No suitable senior English-first role identified in the prior careers review.,Ready - conditional second wave,Retained existing target,https://saltxtechnology.com,2026-07-30
Stockholm,B,Climeon,Clean energy systems,International clean-energy system with OEM and industrial partnership relevance.,Lena Sundquist,CEO,Email status previously researched in tracker,,https://climeon.com,https://career.climeon.com,No suitable senior English-first role identified in the prior careers review.,Ready - conditional second wave,Retained existing target,https://climeon.com,2026-07-30
Stockholm,A,Doconomy,Climate fintech,"International platform with banks, payment providers and strategic partnerships.",Carl-Johan von Uexkull,Chief Commercial Officer,Email status previously researched in tracker,,https://doconomy.com,https://careers.doconomy.com,No suitable senior English-first role identified in the prior careers review.,Ready for speculative outreach,Retained existing target,https://doconomy.com,2026-07-30
Stockholm,A,TrusTrace,Supply-chain SaaS,International sustainability SaaS with enterprise and ecosystem partnerships.,Shameek Ghosh,CEO & Co-founder,Email status previously researched in tracker,,https://trustrace.com,https://career.trustrace.com,No suitable senior English-first role identified in the prior careers review.,Ready for speculative outreach,Retained existing target,https://trustrace.com,2026-07-30
Stockholm,A,Worldfavor,Sustainability SaaS,International sustainability platform with relationship-led enterprise growth.,Andreas Liljendahl,Founder & CEO,Email status previously researched in tracker,,https://worldfavor.com,https://career.worldfavor.com,No suitable senior English-first role identified in the prior careers review.,Ready for speculative outreach,Retained existing target,https://worldfavor.com,2026-07-30
Stockholm,A,Normative,Carbon accounting SaaS,International climate SaaS and partnerships with financial/business ecosystems.,Matthew Milan,Co-founder & CEO,Email status previously researched in tracker,,https://normative.io,https://careers.normative.io,No suitable senior English-first role identified in the prior careers review.,Ready for speculative outreach,Retained existing target,https://normative.io,2026-07-30
Stockholm,A,Flower,Energy flexibility platform,Fast-growing energy platform with international partnerships and market entry.,Alan Ting,Chief Commercial Officer,Email status previously researched in tracker,,https://flower.se,https://careers.flower.se,No suitable senior English-first role identified in the prior careers review.,Ready for speculative outreach,Retained existing target,https://flower.se,2026-07-30
Stockholm,A,Kognity,Education technology,International learning platform with school networks and market expansion.,Sebastian Dedering,Chief Revenue Officer,Email status previously researched in tracker,,https://kognity.com,https://careers.kognity.com,No suitable senior English-first role identified in the prior careers review.,Ready for speculative outreach,Retained existing target,https://kognity.com,2026-07-30
Stockholm,A,Planhat,Customer platform SaaS,International B2B SaaS with strategic enterprise relationships and partnerships.,Kaveh Rostampor,CEO & Co-founder,Email status previously researched in tracker,,https://www.planhat.com,https://careers.planhat.com,No suitable senior English-first role identified in the prior careers review.,Ready for speculative outreach,Retained existing target,https://www.planhat.com,2026-07-30
Stockholm,A,Mentimeter,Engagement SaaS,Global product with an English-first culture and enterprise/partnership expansion.,Christian Finstad,Chief Sales Officer,Email status previously researched in tracker,,https://www.mentimeter.com,https://www.mentimeter.com/jobs,No suitable senior English-first role identified in the prior careers review.,Ready for speculative outreach,Retained existing target,https://www.mentimeter.com,2026-07-30
Stockholm,A,Brink Commerce,Commerce SaaS,"International commerce platform with retailers, technology partners and market expansion.",Jesper Mellberg,Chief Revenue Officer,Email status previously researched in tracker,,https://www.brinkcommerce.com,https://careers.brinkcommerce.com,No suitable senior English-first role identified in the prior careers review.,Ready for speculative outreach,Retained existing target,https://www.brinkcommerce.com,2026-07-30
Stockholm,B,Xensam,Software asset management,International enterprise SaaS with expansion potential.,Amy Marinari,VP Global Sales,Email status previously researched in tracker,,https://www.xensam.com,https://career.xensam.com,No suitable senior English-first role identified in the prior careers review.,Ready - conditional second wave,Retained existing target,https://www.xensam.com,2026-07-30
