source_region,source_row,company,domain,city,audit_status,reason,history_status,contact_name,contact_title,direct_email,last_verified,next_action
Gothenburg,151,Veprox AB,veprox.se,Göteborg,IRRELEVANT / EXCLUDED,Mechanical/industrial engineering consultancy; specialist technical-domain mismatch.,,,,,2026-09-17,No speculative outreach
Gothenburg,152,TENSON,tenson.com,Gothenburg,IRRELEVANT / EXCLUDED,Outdoor apparel brand; fashion/clothing exclusion under current speculative governance.,,,,,2026-09-17,No further action
Gothenburg,153,Vestia Construction Group,vestia.se,Mölndal,NATIONAL / NORDIC ONLY,Swedish construction group; no genuine wider international commercial remit verified.,,,,,2026-09-17,No further action
Gothenburg,154,Länsstyrelsernas IT-avdelning,lansstyrelsen.se,Göteborg,IRRELEVANT / EXCLUDED,Public-sector IT organisation; government entity outside the target commercial-company profile.,,,,,2026-09-17,No further action
Gothenburg,155,loqalo,loqalo.se,Gothenburg,NATIONAL / NORDIC ONLY,Swedish commercial real-estate brokerage; no wider international sales remit verified.,,,,,2026-09-17,No further action
Gothenburg,156,ConScience,con-science.se,Mölndal,IRRELEVANT / EXCLUDED,Nanotechnology/quantum microfabrication business; highly specialist scientific and engineering domain.,,,,,2026-09-17,No speculative outreach
Gothenburg,157,"Miljöförvaltningen, Göteborgs Stad",goteborg.se,Göteborg,IRRELEVANT / EXCLUDED,Municipal environmental administration; government entity outside the target commercial-company profile.,,,,,2026-09-17,No further action
Gothenburg,158,Bricks & Lime AB,bricksandlime.se,Sävedalen,NATIONAL / NORDIC ONLY,Local construction/masonry business; no international commercial remit.,,,,,2026-09-17,No further action
Gothenburg,159,eghed,eghed.se,Göteborg,IRRELEVANT / EXCLUDED,Small industrial AI/data-science consultancy; specialist technical proposition and scale mismatch.,,,,,2026-09-17,No speculative outreach
Gothenburg,160,GADDEN,gadden.com,Göteborg,IRRELEVANT / EXCLUDED,Student career-fair organisation; not a permanent international commercial employer matching the target profile.,,,,,2026-09-17,No further action
Gothenburg,161,Hagmans Kyl & Energiteknik AB,hagmanskyl.se,Hisings Backa,NATIONAL / NORDIC ONLY,Regional refrigeration/HVAC and energy-technology contractor; no wider international commercial remit verified.,,,,,2026-09-17,No further action
Gothenburg,162,Start Communication | More Alliance,startcommunication.com,Gothenburg,IRRELEVANT / EXCLUDED,Advertising/brand-activation agency; agency/marketing operating model is outside Andrew's target international full-cycle sales profile.,,,,,2026-09-17,No speculative outreach
Gothenburg,163,Kärcher Sverige,karcher.se,Gothenburg,IRRELEVANT / EXCLUDED,Swedish country operation of a very large global industrial group; large-corporate/local-market gate applies and no unusual autonomous international remit is verified.,,,,,2026-09-17,No speculative outreach
Gothenburg,164,JOAB,joab.se,Göteborg,ALREADY HANDLED,Nordic truck-body equipment company already contacted; duplicate-send history exists and must not be repeated.,Two speculative messages were sent 2026-08-03 to the same recipient; OOO received,Björn Svedrin,,bjorn.svedrin@joab.se,2026-09-17,Do not duplicate; preserve duplicate-send history as a control warning
Gothenburg,165,Hubbau,hubbau.se,Gothenburg,NATIONAL / NORDIC ONLY,Swedish talent/recruitment-oriented services business; no genuine wider international commercial remit verified.,,,,,2026-09-17,No further action
