source_region,source_row,company,domain,city,audit_status,reason,history_status,contact_name,contact_title,direct_email,last_verified,next_action
Gothenburg,181,Connect Bus,connectbus.se,Göteborg,NATIONAL / NORDIC ONLY,Nordic bus operator focused on passenger transport; operating remit is Nordic transport rather than international full-cycle new-business sales.,,,,,2026-09-17,No further action
Gothenburg,182,Jaktia,jaktia.se,Tollered,ALREADY HANDLED,Nordic retail chain already approached in the current search.,Speculative outreach sent 2026-08-05,Sebastian Slettengren,,sebastian.slettengren@jaktia.se,2026-09-17,Do not duplicate; retain history
Gothenburg,183,Mindbender,mindbender.com,Gothenborg,IRRELEVANT / EXCLUDED,Very small animation/full-production studio with project-based creative services; scale and operating model do not support a credible permanent senior international full-cycle sales role.,No Gmail contact/application found after 2021; no canonical GitHub history found,,,,2026-09-17,No speculative outreach
Gothenburg,184,Hypocampus AB,hypocampus.se,Göteborg,ALREADY HANDLED,EdTech company already approached in the current search.,Speculative outreach sent 2026-08-24,Hampus,,hampus@hypocampus.se,2026-09-17,Do not duplicate; retain history
Gothenburg,185,Saltwell,saltwellsalt.com,Gothenburg,ALREADY HANDLED,"International sodium-reduction food ingredient business is part of Salinity Group, which was already approached; treat the group relationship as handled to prevent duplicate outreach.",Salinity speculative outreach sent 2026-08-04 to Marit Börjesson; Saltwell currently identifies itself as part of Salinity Group,Marit Börjesson,,marit.borjesson@salinity.com,2026-09-17,Do not approach the Saltwell brand separately without explicit history review
Gothenburg,186,"Äldre samt vård- och omsorgsförvaltningen, Göteborgs Stad",,Gothenburg,IRRELEVANT / EXCLUDED,Municipal elderly-care and healthcare administration; government entity outside the target commercial-company profile.,,,,,2026-09-17,No further action
Gothenburg,187,Skandinaviska Glas och Fasadsystem AB,skandglas.se,Gothenburg,IRRELEVANT / EXCLUDED,Tiny specialist façade/glazing engineering company; scale and technical-domain mismatch outweigh its international project references.,,,,,2026-09-17,No speculative outreach
Gothenburg,188,SiNIX,sinix.se,Göteborg,IRRELEVANT / EXCLUDED,Specialist embedded/electronics/connectivity engineering consultancy; deep technical-domain mismatch.,,,,,2026-09-17,No speculative outreach
Gothenburg,189,Jeppesen ForeFlight Gothenburg,jeppesenforeflight.com,Gothenburg,IRRELEVANT / EXCLUDED,"Large aviation-technology business; travel/aviation technology, specialist domain and large-corporate gates apply.",,,,,2026-09-17,No speculative outreach
Gothenburg,190,SOAL Marine Group,soalmarine.se,Gothenburg,IRRELEVANT / EXCLUDED,Maritime defence products and specialist military training; defence/marine technical-domain mismatch.,,,,,2026-09-17,No speculative outreach
Gothenburg,191,Tholin & Larsson,tholin.se,Gamlestaden,NATIONAL / NORDIC ONLY,Swedish tax/VAT expert and training business serving Swedish finance/accounting users; no wider international sales remit verified.,,,,,2026-09-17,No further action
Gothenburg,192,Millow.co,millow.co,Lerum,ALREADY HANDLED,Sustainable food company already approached in the current search.,Speculative outreach sent 2026-08-24,Fredrik,,fredrik@millow.co,2026-09-17,Do not duplicate; retain history
Gothenburg,193,Allgon Group,allgon.se,Västra Frölunda,ALREADY HANDLED,International industrial wireless-control company already contacted and personally answered.,Speculative outreach sent 2026-08-03; Linda Nyquist-Evenrud replied 2026-08-05 and asked CHRO to retain CV; Andrew acknowledged 2026-08-06,Linda Nyquist-Evenrud,,l.nyquist-evenrud@allgon.com,2026-09-17,Do not duplicate; retain warm future-facing history
Gothenburg,194,Bygg & Konsult i Väst AB,byggochkonsult.se,Gothenburg,NATIONAL / NORDIC ONLY,Regional Swedish construction group; no genuine wider international commercial remit verified.,,,,,2026-09-17,No further action
Gothenburg,195,Lansa Fastigheter,lansa.se,Göteborg,NATIONAL / NORDIC ONLY,Swedish residential property company; domestic property remit with no international new-business scope.,,,,,2026-09-17,No further action
Gothenburg,196,Prevex AB,prevex.se,Hisings Backa,NATIONAL / NORDIC ONLY,Swedish professional hardware/tools distributor with stores and sales teams in Sweden; no wider international commercial remit verified.,,,,,2026-09-17,No further action
Gothenburg,197,Amido,amido.se,Gothenburg,NATIONAL / NORDIC ONLY,"Commercially understandable Smart Access SaaS, but current company evidence describes thousands of properties across Sweden and current customer cases are Swedish; no genuine wider international commercial operation verified.",No Gmail contact/application found after 2021; no canonical GitHub history found,,,,2026-09-17,Revisit only if international expansion becomes explicit
Gothenburg,198,ANLAB - Anläggningsbolaget,anlab.se,Göteborg,NATIONAL / NORDIC ONLY,"Groundworks/civil contractor focused on Västra Götaland, Halland and Stockholm; domestic Swedish remit.",,,,,2026-09-17,No further action
Gothenburg,199,Kokokaka,kokokaka.com,Göteborg,IRRELEVANT / EXCLUDED,"Very small creative studio with fashion/lifestyle focus; agency model, scale risk and fashion-adjacent exclusion make it unsuitable.",,,,,2026-09-17,No speculative outreach
Gothenburg,200,TokenTek,tokentek.ai,Gothenburg,IRRELEVANT / EXCLUDED,"Small specialist agentic-AI/software engineering consultancy; current work is deeply technical, current hiring requires Swedish and English, and company states its customers are primarily across Sweden.",No Gmail contact/application found after 2021; no canonical GitHub history found,,,,2026-09-17,No speculative outreach
Gothenburg,201,Egnahemsbolaget,egnahemsbolaget.se,Hisings Backa,IRRELEVANT / EXCLUDED,Municipally owned Gothenburg housing/development company; public/local property entity outside target international commercial profile.,,,,,2026-09-17,No further action
Gothenburg,202,Ferroman,ferroman.com,Mölnlycke,ALREADY HANDLED,Industrial solutions company already approached in the current search.,Speculative outreach sent 2026-08-05,Håvard Hansen,,havard.hansen@ferroman.com,2026-09-17,Do not duplicate; retain history
Gothenburg,203,Gung,gung.se,Göteborg,ALREADY HANDLED,B2B software company already contacted and personally declined the approach.,Speculative outreach sent 2026-09-07; Vishal Ganatra replied 2026-09-08 that no open position fit the profile; Andrew acknowledged 2026-09-09,Vishal Ganatra,,vishal.ganatra@gung.se,2026-09-17,Do not duplicate; retain explicit decline history
Gothenburg,204,NEXTAR,goteborgco.se,Gothenburg,IRRELEVANT / EXCLUDED,School-to-work social initiative operating in Swedish cities; not a target permanent international B2B sales employer.,,,,,2026-09-17,No further action
Gothenburg,205,2550 Engineering Part of Qamcom Group,2550.engineering,Gothenburg,IRRELEVANT / EXCLUDED,"Frontier-technology engineering consultancy spanning software, system safety, RF, antennas, microwave, computer vision and AI; deep engineering-domain mismatch.",,,,,2026-09-17,No speculative outreach
Gothenburg,206,Chalmers Fastigheter,chalmersfastigheter.se,Göteborg,IRRELEVANT / EXCLUDED,Campus property company serving Chalmers; local real-estate/campus remit rather than international commercial sales.,,,,,2026-09-17,No further action
Gothenburg,207,Uptive,uptive.se,Lindholmen,NATIONAL / NORDIC ONLY,Small Gothenburg digital consultancy focused on development and UX services; no genuine wider international commercial remit verified.,,,,,2026-09-17,No further action
Gothenburg,208,GWEN,gwenplatform.com,Göteborg,INTERNATIONAL - HOLD,"Gamification SaaS was previously considered internationally plausible, but the retained contact is stale/wrong-company and current company status, scale and senior commercial need are not sufficiently verified.",No Gmail contact/application found after 2021; canonical GitHub record says prior contact Carl Bjerkne moved to GuestXP and the supplied guestxp.io address was rejected as wrong-company,Carl Bjerkne,Formerly listed CEO; no longer verified,,2026-09-17,"Hold until current company viability, decision-maker and direct professional email are re-established"
Gothenburg,209,8082 Ekonomi AB,8082.se,GÖTEBORG,NATIONAL / NORDIC ONLY,Swedish payroll/accounting firm; domestic Swedish service and language environment with no wider international new-business remit verified.,,,,,2026-09-17,No further action
Gothenburg,210,YOHRS,yohrs.com,Gothenburg,NATIONAL / NORDIC ONLY,Small workforce-planning and competence-mapping technology/consulting business; no verified wider international commercial operation or expansion.,No Gmail contact/application found after 2021; no canonical GitHub history found,,,,2026-09-17,Revisit only if international expansion becomes explicit
