source_region,source_row,company,domain,city,audit_status,reason,history_status,contact_name,contact_title,direct_email,last_verified,next_action
Gothenburg,91,Wolters Kluwer Sverige,wolterskluwer.com,Göteborg,IRRELEVANT / EXCLUDED,"Global information/software group with more than 19,000 employees; large-corporate gate applies and no unusual autonomous international commercial remit is evidenced for speculative outreach.",,,,,2026-09-17,No speculative outreach
Gothenburg,92,Next step group,nextstep.se,Göteborg,NATIONAL / NORDIC ONLY,Local property owner/developer focused on Gothenburg and surrounding growth areas; no wider international sales remit verified.,,,,,2026-09-17,No further action
Gothenburg,93,"Förvaltningen för funktionsstöd, Göteborgs Stad",goteborg.se,Göteborg,IRRELEVANT / EXCLUDED,Municipal government administration; outside target commercial-company profile.,,,,,2026-09-17,No further action
Gothenburg,94,Kvaser AB,kvaser.com,Mölndal,INTERNATIONAL - HOLD,"Global CAN/M2M hardware company with worldwide sales representatives and distributors, but the proposition is engineering-led and sold into highly technical automotive/industrial applications.",No Gmail outreach/application found after 2021; 2024 Head of Sales EU job alert only,,,,2026-09-17,Hold unless a hands-on commercial role is shown not to require deep CAN/engineering expertise
Gothenburg,95,SmartCraft,smartcraft.com,Gothenburg,ALREADY HANDLED,International/North-Western Europe construction-software group but already contacted.,Speculative outreach sent 2026-08-05; Jeremias Jansson replied that there were no positions,Jeremias Jansson,,jeremias.jansson@smartcraft.com,2026-09-17,Do not duplicate; retain reply history
Gothenburg,96,Ribocure Pharmaceuticals AB,ribocure.com,Gothenburg,IRRELEVANT / EXCLUDED,Clinical-stage biotech company; biotech/life-science specialist exclusion.,,,,,2026-09-17,No speculative outreach
Gothenburg,97,Focus Nordic AB,focusnordic.com,Gothenburg,ALREADY HANDLED,International distribution company across numerous European markets but already contacted.,Speculative outreach sent 2026-08-03; CEO replied there was no current opening,Mikael Westheimer,,mikael.westheimer@focusnordic.dk,2026-09-17,Do not duplicate; retain reply history
Gothenburg,98,Airpelago,airpelago.com,Gothenburg,ALREADY HANDLED,Internationally relevant drone/utility inspection company but already contacted.,Speculative outreach sent 2026-08-24,Felix Karlsson,,felix.karlsson@airpelago.com,2026-09-17,Do not duplicate; retain history
Gothenburg,99,JCE,jce.se,Gothenburg,IRRELEVANT / EXCLUDED,Family office/investment group rather than an operating sales employer matching the target hands-on commercial role.,,,,,2026-09-17,No further action
Gothenburg,100,Berg Insight,berginsight.com,Gothenburg,ALREADY HANDLED,Global IoT market-research and consulting business but already contacted.,Speculative outreach sent 2026-09-08,Johan Fagerberg,,johan.fagerberg@berginsight.com,2026-09-17,Do not duplicate; retain history
Gothenburg,101,St1 Refinery AB,st1.se,Gothenburg,IRRELEVANT / EXCLUDED,Refinery/oil-and-gas operation centred on specialist energy engineering and plant operations; specialist-domain and larger-group gates apply.,,,,,2026-09-17,No speculative outreach
Gothenburg,102,SIFU Utbildning,sifu.se,Göteborg,NATIONAL / NORDIC ONLY,Swedish professional training provider focused on domestic technical and public-sector education; no wider international sales remit verified.,,,,,2026-09-17,No further action
Gothenburg,103,Weissr,weissr.com,Gothenburg,ALREADY HANDLED,Global Capex-management SaaS company already handled through a live advertised application.,Applied for Global Account Executive 2026-08-24; recruiter confirmed 2026-09-07 that Weissr paused the recruitment,,,,2026-09-17,Do not duplicate with speculative outreach while prior application history remains current
Gothenburg,104,"Metenova, a Repligen Brand",metenova.com,Waltham,IRRELEVANT / EXCLUDED,Pharmaceutical/biotech mixing technology within Repligen; specialist pharma/biotech and large-corporate gates apply.,,,,,2026-09-17,No speculative outreach
Gothenburg,105,Incopia,incopia.se,GÖTEBORG,NATIONAL / NORDIC ONLY,Swedish procurement and supply-chain consulting/recruitment firm; no genuine wider international commercial remit verified.,,,,,2026-09-17,No further action unless international expansion is verified
Gothenburg,106,Frihamnsdagarna,frihamnsdagarna.se,Göteborg,IRRELEVANT / EXCLUDED,Public-policy/democracy event organisation; outside target permanent commercial-company profile.,,,,,2026-09-17,No further action
Gothenburg,107,Rivus Batteries,rivus-batteries.com,Göteborg,IRRELEVANT / EXCLUDED,Very small early-stage organic-flow battery company still seeking pilot customers; specialist battery technology plus maturity/scale gate.,,,,,2026-09-17,No speculative outreach
Gothenburg,108,SCALINQ,scalinq.com,Gothenburg,IRRELEVANT / EXCLUDED,Quantum-computing cryogenic hardware company; deeply specialist scientific/engineering proposition.,,,,,2026-09-17,No speculative outreach
Gothenburg,109,Sustend,sustend.se,Göteborg,IRRELEVANT / EXCLUDED,"Technical construction/engineering consultancy across building, fire, HVAC and project engineering; specialist-domain mismatch.",,,,,2026-09-17,No speculative outreach
Gothenburg,110,Parakey.co,parakey.co,Göteborg,ALREADY HANDLED,Nordic mobile-access SaaS/hardware company but already contacted.,Speculative outreach sent 2026-08-03,Johan,,johan@parakey.co,2026-09-17,Do not duplicate; retain history
Gothenburg,111,Walley,walley.se,Gothenburg,ALREADY HANDLED,Nordic payments company but already contacted.,Speculative outreach sent 2026-08-11,Josef Bosæus,,josef.bosaeus@walley.se,2026-09-17,Do not duplicate; retain history
Gothenburg,112,Volupe,volupe.com,Askim,IRRELEVANT / EXCLUDED,"CAE simulation software, HPC and advanced engineering support sold to engineers; specialist technical-domain mismatch.",,,,,2026-09-17,No speculative outreach
Gothenburg,113,Integro Consulting AB,integroconsulting.se,Gothenburg,IRRELEVANT / EXCLUDED,Engineering consultancy built around specialist technical excellence; outside target transferable commercial profile.,,,,,2026-09-17,No speculative outreach
Gothenburg,114,myflow,myflow.se,Gothenburg,NATIONAL / NORDIC ONLY,Small-business/solopreneur platform with Swedish-market positioning; no genuine wider international commercial remit verified.,No job-outreach/application history found; historical customer/marketing emails are unrelated,,,,2026-09-17,No further action unless international expansion is verified
Gothenburg,115,InfiMotion Technology,infimotiontec.com,Gothenburg,IRRELEVANT / EXCLUDED,Global electric-drive engineering/manufacturing group with thousands of employees; highly technical automotive proposition and large-corporate gate.,,,,,2026-09-17,No speculative outreach
Gothenburg,116,Chalmers Formula Student,chalmersformulastudent.se,Göteborg,IRRELEVANT / EXCLUDED,Student engineering competition/team rather than a target permanent commercial employer.,,,,,2026-09-17,No further action
Gothenburg,117,Valentin,valentin.se,Gothenburg,NATIONAL / NORDIC ONLY,Gothenburg full-service advertising agency; no wider international sales-development remit verified.,,,,,2026-09-17,No further action
Gothenburg,118,Kulturförvaltningen Göteborgs Stad,goteborg.se,Göteborg,IRRELEVANT / EXCLUDED,Municipal cultural administration; outside target commercial-company profile.,,,,,2026-09-17,No further action
Gothenburg,119,Ongoing,ongoingwarehouse.com,Göteborg,ALREADY HANDLED,International WMS SaaS company but already contacted.,Speculative outreach sent 2026-08-03,Karl Henke,,karl.henke@ongoingwarehouse.com,2026-09-17,Do not duplicate; retain history
Gothenburg,120,Geely Technology Europe,geelytech.eu,Göteborg,IRRELEVANT / EXCLUDED,Large automotive R&D/engineering organisation within Geely; highly technical environment and large-corporate gate.,,,,,2026-09-17,No speculative outreach
